Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Duplicate),Outward issue link (Reference),Outward issue link (Supercedes),Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"signature change of applyRules(java.util.Calendar, java.lang.StringBuffer) is not binary compatible",LANG-1245,12978572,Bug,Closed,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Blocker,Fixed,chonton,chonton,chonton,14/Jun/16 05:15,19/Oct/16 15:24,08/Jun/19 23:15,15/Jun/16 17:40,3.5,,,,,,3.5,lang.time.*,,0,,,,"add back method
 java.lang.StringBuffer applyRules(java.util.Calendar, java.lang.StringBuffer)",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,9223372036854775807,,,Wed Jun 15 17:40:52 UTC 2016,,,,,,0|i2zf1r:,9223372036854775807,,,,,,,,,15/Jun/16 17:40;chonton;Commit [10ebb32ce1806821518f52074f0d171fab20b3ea|https://github.com/apache/commons-lang/commit/10ebb32ce1806821518f52074f0d171fab20b3ea],,,,,,,,,,,,,,,
After version Commons-lang3.4 DateFormatUtils has a bug,LANG-1462,13237655,Bug,Open,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Critical,,,elunlng,elunlng,05/Jun/19 06:49,05/Jun/19 06:49,08/Jun/19 23:14,,3.5,3.6,3.7,3.8,3.8.1,3.9,,lang.time.*,,0,,,,"The code is as follows ：

Calendar cale = Calendar.getInstance();
 System.out.println(""Old time is "" + DateFormatUtils.format(cale, ""yyyyMMddHHmmss""));
 cale.setTimeZone(TimeZone.getTimeZone(""JST""));
 System.out.println(""New time is "" + DateFormatUtils.format(cale, ""yyyyMMddHHmmss""));

 

The results of commons-lang3 3.4：

Old time is 20190605144536
New time is 20190605154536

 

The results of the version after commons-lang3 3.4:

Old time is 20190605144536
New time is 20190605144536

 

We found that the time zone setting was invalidated when it was formatted

 ",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,9223372036854775807,,,2019-06-05 06:49:22.0,,,,,,0|z03fgg:,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,
WordUtils.wrap throws StringIndexOutOfBoundsException,LANG-1292,13023739,Bug,Closed,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Critical,Fixed,dmjones500,mhankus,mhankus,28/Nov/16 14:00,22/Dec/16 15:25,08/Jun/19 23:15,01/Dec/16 19:32,3.5,,,,,,3.6,,,0,,,,"
Running following line of code results in StringIndexOutOfBoundsException (in 3.5 release)
{code}
WordUtils.wrap(""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"",70);
{code}

{code}
java.lang.StringIndexOutOfBoundsException: String index out of range: -1

	at java.lang.String.substring(String.java:1967)
	at org.apache.commons.lang3.text.WordUtils.wrap(WordUtils.java:328)
	at org.apache.commons.lang3.text.WordUtils.wrap(WordUtils.java:176)
	at org.apache.commons.lang3.text.WordUtils.wrap(WordUtils.java:100)
	at pl.netpr.commons.string.TextToolsTest.testWrap(TextToolsTest.java:245)
	
{code}

It worked fine with 3.4 releae. 





",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2016-11-28 21:58:04.242,,,false,,,,,,,,,,,,,9223372036854775807,,,Thu Dec 01 19:31:31 UTC 2016,,,,,,0|i36ufr:,9223372036854775807,,,,,,,,,28/Nov/16 21:58;pascalschumacher;caused by this commit: https://github.com/apache/commons-lang/commit/0fe9685c8a78ba2d780a3ec1e1a323990dc6d218,"01/Dec/16 19:31;dmjones500;Thanks for reporting this. Now fixed:

{quote}
Repository: commons-lang
Updated Branches:
 refs/heads/master 8c1a0d2ee -> a08ec31db


Fixes LANG-1292: WordUtils.wrap throws StringIndexOutOfBoundsException

Project: http://git-wip-us.apache.org/repos/asf/commons-lang/repo
Commit: http://git-wip-us.apache.org/repos/asf/commons-lang/commit/a08ec31d
Tree: http://git-wip-us.apache.org/repos/asf/commons-lang/tree/a08ec31d
Diff: http://git-wip-us.apache.org/repos/asf/commons-lang/diff/a08ec31d
{quote}",,,,,,,,,,,,,,
StringUtils#normalizeSpace normalizeSpace should not replace non-breaking spaces with normal whitespace,LANG-1282,13017830,Bug,Open,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Major,,,pascalschumacher,pascalschumacher,03/Nov/16 21:25,14/Nov/17 17:41,08/Jun/19 23:15,,3.5,,,,,,,,,1,,,,"As of 3.4 StringUtils#normalizeSpace does not normalize non-breaking whitespace anymore. Therefore it shouldn't replace a non-breaking whitespace white breaking whitespace, but both assertions succeed:

{code}
assertEquals(""a b"", StringUtils.normalizeSpace(""a\u00A0b""));
assertEquals(""a  b"", StringUtils.normalizeSpace(""a\u00A0 b""));
{code}

source: https://github.com/apache/commons-lang/pull/184",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2016-12-04 08:35:43.087,,,false,,,,,,,,,,,,,9223372036854775807,,,Tue Nov 14 17:41:13 UTC 2017,,,,,,0|i35tz3:,9223372036854775807,,,,,,,,,"04/Dec/16 08:35;dmjones500;I agree with this. 

If {{Character.isWhitespace()}} is the test, then the Javadocs also need to be updated to make this crystal clear. The current documentation waffles on a bit about XML vs Java white-space conventions; IMO we should just concisely explain what this method does.","14/Nov/17 17:41;dh_gis;IMO StringUtils#normalizeSpace should be idempotent, i.e.
{code:java}
String s = ""a\u00A0 b"";
assertEquals(StringUtils.normalizeSpace(s), StringUtils.normalizeSpace(StringUtils.normalizeSpace(s)));
{code}
Hence non-breaking spaces should not be replaced by normal spaces. Simply remove the replacement in the following line
{code:java}
newChars[count++] = (actualChar == 160 ? 32 : actualChar);
{code}

",,,,,,,,,,,,,,
"ConstructorUtils.invokeConstructor(Class, Object...) regression",LANG-1350,13094842,Bug,Closed,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Major,Fixed,,bjkail,bjkail,15/Aug/17 19:25,10/Nov/17 16:41,08/Jun/19 23:15,21/Aug/17 15:29,3.5,3.6,,,,,3.7,lang.reflect.*,,0,,,,"As of LANG-1115, the following test program no longer works:
{noformat}
public class ConstructorUtilsTest {
	@Test
	public void test() throws Exception {
		ConstructorUtils.invokeConstructor(TestCtor.class, new A() {}, new B[0]);
	}

	public static class TestCtor {
		public TestCtor(A a, B... b) {}
	}

	public static class A {}
	public static class B {}
}
{noformat}",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2017-08-19 18:10:54.981,,,false,,,,,,,,,,,,,9223372036854775807,,,Sat Aug 26 12:59:37 UTC 2017,,,,,,0|i3itjz:,9223372036854775807,,,,,,,,,19/Aug/17 18:10;ggregory;Patches welcome ;-),"20/Aug/17 18:26;githubbot;GitHub user bjkail opened a pull request:

    https://github.com/apache/commons-lang/pull/283

    LANG-1350: Fix varargs array invokeConstructor

    If ConstructorUtils.invokeConstructor(Class, Object...) is invoked with an array of arguments whose classes do not match a constructor exactly (for example, a subclass is used) and an array is used for a varargs parameter, then the array is not matched to the varargs parameter type.

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/bjkail/commons-lang LANG-1350

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/commons-lang/pull/283.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #283
    
----
commit a54613f4c8774c34a9942b3ffe93d803fcc452cd
Author: Brett Kail <bjkail@gmail.com>
Date:   2017-08-20T18:25:41Z

    LANG-1350: Fix varargs array invokeConstructor
    
    If ConstructorUtils.invokeConstructor(Class, Object...) is invoked with
    an array of arguments whose classes do not match a constructor exactly
    (for example, a subclass is used) and an array is used for a varargs
    parameter, then the array is not matched to the varargs parameter type.

----
","20/Aug/17 18:34;githubbot;Github user coveralls commented on the issue:

    https://github.com/apache/commons-lang/pull/283
  
    
    [![Coverage Status](https://coveralls.io/builds/12913326/badge)](https://coveralls.io/builds/12913326)
    
    Coverage increased (+0.01%) to 95.194% when pulling **a54613f4c8774c34a9942b3ffe93d803fcc452cd on bjkail:LANG-1350** into **05d9518038ae8d2ac9f11b91b731f47b909a9bad on apache:master**.

","20/Aug/17 18:34;githubbot;Github user coveralls commented on the issue:

    https://github.com/apache/commons-lang/pull/283
  
    
    [![Coverage Status](https://coveralls.io/builds/12913326/badge)](https://coveralls.io/builds/12913326)
    
    Coverage increased (+0.01%) to 95.194% when pulling **a54613f4c8774c34a9942b3ffe93d803fcc452cd on bjkail:LANG-1350** into **05d9518038ae8d2ac9f11b91b731f47b909a9bad on apache:master**.

",21/Aug/17 15:29;ggregory;In Git master. Please verify and fix.,"26/Aug/17 10:21;githubbot;Github user PascalSchumacher commented on the issue:

    https://github.com/apache/commons-lang/pull/283
  
    Thanks for the pull request! :+1: 
    
    It was merged by @garydgregory in https://github.com/apache/commons-lang/commit/cc94767e7eabdfcf9d1cab1d8d1d8556864394c6
    
    It would be nice if you could close the pull request.
    
    Thanks!
","26/Aug/17 12:59;githubbot;Github user bjkail closed the pull request at:

    https://github.com/apache/commons-lang/pull/283
",,,,,,,,,
ArrayUtils.toArray(T... items) has unsafe use of varargs,LANG-1295,13027421,Bug,Open,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Major,,,dmjones500,dmjones500,12/Dec/16 11:09,08/Sep/17 17:10,08/Jun/19 23:15,,3.5,,,,,,,lang.*,,0,,,,"{{ArrayUtils.toArray(T... items)}} is marked as {{@SafeVarargs}}, but I suspect the use of the varargs is unsafe.

An example, drawn heavily from [this StackOverflow answer|http://stackoverflow.com/a/14252221/474189], demonstrates this:

{code:java}
static <T> T[] arrayOfTwo(T a, T b) {
    return ArrayUtils.toArray(a, b);
}

@Test
public void testBadVarArgs() throws Exception {
    @SuppressWarnings(""unused"") // Need to assign to trigger exception
    String[] result = arrayOfTwo(""foo"", ""bar"");
}
{code}

the above code throws an exception: {{java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to [Ljava.lang.String;}}.",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2016-12-12 22:48:54.081,,,false,,,,,,,,,,,,,9223372036854775807,,,Wed May 24 19:54:26 UTC 2017,,,,,,0|i37h5z:,9223372036854775807,,,,,,,,,"12/Dec/16 14:29;dmjones500;Unfortunately, this method seems to do exactly what you're not supposed to do with varargs.

We may have to deprecate this and warn people off using it.

I'm going to create another issue for the {{addAll}} method, since the solution (and discussion thereof) is likely to be different.","12/Dec/16 22:48;pascalschumacher;A version of commons-lang containing this method with the @SafeVarargs annotation has not been released yet, so the annotation can just be removed.","14/Dec/16 05:48;dmjones500;Agreed, but the bigger question on this issue and LANG-1296 is can we fix the underlying problem and, if not, how best to cope with that.","18/Dec/16 07:20;dmjones500;The only solution I can think of here is to deprecate the original method and instead offer:

{code:java}
    @SafeVarargs
    public static <T> T[] toArrayOf(Class<T> clazz, final T... items) {
        if (items == null) {
            return null;
        }
        
        @SuppressWarnings(""unchecked"")
        T[] result = (T[]) Array.newInstance(clazz, items.length);
        
        System.arraycopy(items, 0, result, 0, items.length);
        return result;
    }
{code}

I believe this new method is safe, since it only relies on the items being of type {{T}}, but doesn't care whether {{items}} is a {{T[]}}.

Thoughts and comments on this issue very welcome!",20/Jan/17 16:53;pascalschumacher;As I first step I have just removed the SafeVarargs annotation from the method.,"24/May/17 19:54;joehni;I am definitely -1 for deprecation. We have a lot of unit tests for this method, that demonstrate, what actually works (incl. indirect generic calls). In the case above, you get a compiler warning for the return value of the method arrayOfTwo if the @SafeVarargs is missing.",,,,,,,,,,
ArrayUtils.addAll() has unsafe use of varargs,LANG-1296,13027464,Bug,Open,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Major,,,dmjones500,dmjones500,12/Dec/16 14:33,08/Sep/17 17:10,08/Jun/19 23:15,,3.5,,,,,,,lang.*,,0,,,,"{{ArrayUtils.addAll()}} is marked as {{@SafeVarargs}}, but I suspect the use of the varargs is unsafe.

An example, drawn heavily from [this StackOverflow answer|http://stackoverflow.com/a/14252221/474189], demonstrates this:

{code:java}
static <T> T[] arrayOfTwo(T a, T b) {
   return ArrayUtils.addAll(null, a, b);
}

@Test
public void testBadVarArgs() throws Exception {
   @SuppressWarnings(""unused"") // Need to assign to trigger exception
   String[] result = arrayOfTwo(""foo"", ""bar"");
}
{code}

the above code throws an exception: {{java.lang.ClassCastException: [Ljava.lang.Object; cannot be cast to [Ljava.lang.String;}}.

Here, the {{null}} input array causes the method to return a clone of the vararg array. This is what triggers the problem.

I faced a similar issue when adding the {{ArrayUtils.insert(...)}} methods and I solved it by returning {{null}} if the input array is {{null}}. We can't do this here without breaking behaviour.",,,,,,,,,,,LANG-1295,,,,0.0,,,,,,,,,,,,,,,,,,,2016-12-12 22:48:00.568,,,false,,,,,,,,,,,,,9223372036854775807,,,Fri Jan 20 16:50:44 UTC 2017,,,,,,0|i37hfj:,9223372036854775807,,,,,,,,,"12/Dec/16 22:48;pascalschumacher;A version of commons-lang containing this method with the @SafeVarargs annotation has not been released yet, so the annotation can just be removed.",20/Jan/17 16:50;pascalschumacher;I have just removed the SafeVarargs annotation from the method.,,,,,,,,,,,,,,
RandomStringUtils#random can enter infinite loop if end parameter is to small,LANG-1287,13021776,Bug,Closed,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Major,Fixed,pascalschumacher,pascalschumacher,pascalschumacher,18/Nov/16 15:41,12/Jun/17 12:04,08/Jun/19 23:15,18/Nov/16 15:53,3.5,,,,,,3.6,lang.*,,0,,,,"{quote}I faced that the random method can cause an infinite loop. It can be caused if the end parameter is too low for generating either numbers (< 48) or letters (<65). I added some exception tests to make the cases clear. Basically, if we call the random function with for example numbers = true && end < 48 the validation for Character.isDigit(ch) will fail and we increment count count++.{quote}

Ivan Morozov https://github.com/apache/commons-lang/pull/211",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,9223372036854775807,,,2016-11-18 15:41:33.0,,,,,,0|i36ibj:,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,
NullPointerException in FastDateParser$TimeZoneStrategy,LANG-1285,13021044,Bug,Closed,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Major,Fixed,pascalschumacher,ilgrosso,ilgrosso,16/Nov/16 06:06,12/Jun/17 12:04,08/Jun/19 23:15,16/Nov/16 20:47,3.5,,,,,,3.6,lang.time.*,,0,,,,"It seems that after LANG-1186 was fixed, and before 3.5 went out, the bug was re-introduced.

One of my customers is getting the following error (I am actually not able to reproduce it) with 3.5:

{code}
java.lang.NullPointerException
        at org.apache.commons.lang3.time.FastDateParser$TimeZoneStrategy.<init>(FastDateParser.java:869)
        at org.apache.commons.lang3.time.FastDateParser.getLocaleSpecificStrategy(FastDateParser.java:637)
        at org.apache.commons.lang3.time.FastDateParser.getStrategy(FastDateParser.java:606)
        at org.apache.commons.lang3.time.FastDateParser.access$100(FastDateParser.java:73)
        at org.apache.commons.lang3.time.FastDateParser$StrategyParser.letterPattern(FastDateParser.java:234)
        at org.apache.commons.lang3.time.FastDateParser$StrategyParser.getNextStrategy(FastDateParser.java:220)
        at org.apache.commons.lang3.time.FastDateParser.init(FastDateParser.java:167)
        at org.apache.commons.lang3.time.FastDateParser.<init>(FastDateParser.java:153)
        at org.apache.commons.lang3.time.FastDateFormat.<init>(FastDateFormat.java:394)
        at org.apache.commons.lang3.time.FastDateFormat.<init>(FastDateFormat.java:378)
        at org.apache.commons.lang3.time.FastDateFormat$1.createInstance(FastDateFormat.java:100)
        at org.apache.commons.lang3.time.FastDateFormat$1.createInstance(FastDateFormat.java:97)
        at org.apache.commons.lang3.time.FormatCache.getInstance(FormatCache.java:81)
        at org.apache.commons.lang3.time.FastDateFormat.getInstance(FastDateFormat.java:128)
{code}","Centos 7, en_GB locale",,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2016-11-16 06:09:42.993,,,false,,,,,,,,,,,,,9223372036854775807,,,Wed Nov 16 20:46:51 UTC 2016,,,,,,0|i36dsv:,9223372036854775807,,,,,,,,,"16/Nov/16 06:09;githubbot;GitHub user ilgrosso opened a pull request:

    https://github.com/apache/commons-lang/pull/212

    [LANG-1285] Replicate the fix for LANG-1186

    

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/ilgrosso/commons-lang master

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/commons-lang/pull/212.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #212
    
----
commit b61c9b3594bec226dd26ef9af966ebaa6ebf78dc
Author: Francesco Chicchiriccò <ilgrosso@apache.org>
Date:   2016-11-16T06:07:43Z

    [LANG-1285] Replicate the fix for LANG-1186

----
","16/Nov/16 06:11;githubbot;Github user coveralls commented on the issue:

    https://github.com/apache/commons-lang/pull/212
  
    
    [![Coverage Status](https://coveralls.io/builds/8847626/badge)](https://coveralls.io/builds/8847626)
    
    Coverage increased (+0.0004%) to 93.563% when pulling **b61c9b3594bec226dd26ef9af966ebaa6ebf78dc on ilgrosso:master** into **0f6a292a29fedd49741310cd517ac4ba907bf8d4 on apache:master**.

","16/Nov/16 20:46;githubbot;Github user asfgit closed the pull request at:

    https://github.com/apache/commons-lang/pull/212
","16/Nov/16 20:46;githubbot;Github user PascalSchumacher commented on the issue:

    https://github.com/apache/commons-lang/pull/212
  
    Thanks! 👍
",,,,,,,,,,,,
LocaleUtils#toLocale does not support language followed by UN M.49 numeric-3 area code followed by variant,LANG-1320,13064380,Bug,Closed,LANG,Commons Lang,software,issues@commons.apache.org,"<h4>RELEASE PLAN</h4>

<ul>
<li>Lang 3.8 - Next release from 3.x branch. </li>
<li>Lang 3.x - Items proposed for a subsequent release; will be backwards compatible with 3.0. </li>
<li>Lang 4.0 - Items that require binary incompatible changes. Will not be compatible with 3.x.</li>
</ul>",http://commons.apache.org/lang/,Major,Fixed,britter,britter,britter,17/Apr/17 10:49,12/Jun/17 12:04,08/Jun/19 23:15,17/Apr/17 10:58,3.5,,,,,,3.6,lang.*,,0,,,,"Follow up for LANG-1312:

It is possible to parse ""en_001"" but not ""en_001_US"". When parsing a string with three segments, it should be possible to use UN M.49 area codes as well.",,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,9223372036854775807,,,Mon Apr 17 10:58:06 UTC 2017,,,,,,0|i3dotz:,9223372036854775807,,,,,,,,,17/Apr/17 10:58;britter;Fixed in fb4803623b8f089a8dfd265a68461f4283e7ffad,,,,,,,,,,,,,,,
